순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
23,BJX000519398,(쿠키런 킹덤) 전설의 언어술사. 2,전판교 글 ; 정수영 그림,서울문화사,J 710-쿠829ㅈ-2,[두류]아동실,8
24,BJX000506453,"브레드이발소. 6, 브레드 VS 바게트",원작: 몬스터스튜디오 ; 임광천 구성,형설아이,J 810-몬58ㅂ-6,[두류]아동실,8
25,BJX000505417,말이야와 친구들. 1,"말이야와 친구들 지음, 이혜림 그림 ;  김정욱 글 ;  샌드박스 네트워크 감수",주니어김영사,J 813.8-말69-1,[두류]아동실,8
26,BJX000495265,흔한남매. 5,흔한남매 원작 ; 백난도 글 ; 유난희 그림,Mirea N 아이세움,J 813.8-백211ㅎ-5,[두류]아동실,8
27,BJX000505532,밍꼬발랄 공소시효. 3,밍꼬발랄 원작 ; 주상일 글 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-3,[두류]아동실,8
28,BJX000504368,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 2,흔한남매 원작 ; 안치현 글 ; 유난희 그림,Mirae N 아이세움,J 400-안819ㅎ-2,[두류]아동실,8
29,BJX000500128,"그리스 로마 신화. 17, 페가수스를 길들인 영웅, 벨레로폰테스",박시연 글 ; 최우빈 그림,아울북,J 219.2-그239-17,[두류]아동실,8
30,BJX000503237,"써리의 영상툰. 1, 오싹툰 레전드",써리의 영상툰 원작 ; 김정한 글·그림,위즈덤하우스,J 813.8-써239ㅆ-1,[두류]아동실,8
31,BJX000465033,낙원의 샘,아서 C. 클라크 지음  ; 고호관 옮김,아작,843.5-클231ㄴ,[두류]종합실,8
32,BJX000526779,흔한남매. 6,흔한남매 원작 ; 백난도 글 ; 유난희 그림,Mirea N 아이세움,J 813.8-백211ㅎ-6,[두류]아동실,8
33,BJX000521413,(흔한남매) 별난 방탈출. 4,흔한남매 원작 ; 김언정 글 ; 차차 그림,미래엔,J 813.8-흔91ㅂ-4,[두류]아동실,8
34,BJX000523324,진달래 고서점의 사체,와카타케 나나미 지음 ; 서혜영 옮김,작가정신,833.6-와821ㅈ,[두류]종합실,8
35,BJX000521460,"물고기는 존재하지 않는다 : 상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",룰루 밀러 지음 ;  정지인 옮김,곰출판,490.99-밀233ㅁ,[두류]종합실,8
36,BJX000526885,"쿠키런 킹덤스쿨. 4, 도시쿠키vs시골쿠키",김언정 지음 ; 이태영 그림,서울문화사,J 320-김63ㅋ-4,[두류]아동실,8
37,BJX000526757,"똥볶이 할멈 : K-히어로 판타지. 3, 나쁜 어린이는 없다",강효미 글 ; 김무연 그림,슈크림북,J 813.8-강96ㄸ-3,[두류]아동실,8
38,BJX000525459,(읽으면서 바로 써먹는)어린이 한국사 퀴즈. 2,한날 글·그림,파란정원,J 911-한211ㅇ-2,[두류]아동실,8
39,BJX000526891,(흔한남매) 별난 방탈출. 5,흔한남매 원작 ; 김언정 글 ; 차차 그림,Mirae N 아이세움,J 813.8-흔91ㅂ-5,[두류]아동실,8
40,BJX000526347,비마이펫 멍냥연구소 : 온 세상 반려가족 필수 반려동물 교양만화. 3,비마이펫 원작 ; 최진규 그림,서울문화사,J 527.386-비31ㅂ-3,[두류]아동실,8
41,BJX000526795,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 28, 트로이아 여인들의 비극",박시연 지음 ; 최우빈 그림,아울북,J 219.2-그239-28,[두류]아동실,8
42,BJX000526601,인싸가족 VS 인싸스쿨 : 핵인싸 코믹 가족 시트콤. 1,인싸가족 원작 ; 박동명 지음 ; 류수형 그림,예림당,J 813.8-인51ㅇ-1,[두류]아동실,8
43,BJX000525396,"(전설의 모험왕) 엉덩이 댄디 the young. 3, 유령 저택의 비밀을 파헤쳐라!",트롤 원작 ; 하루하라 로빈슨 글·구성 ; 기쿠치 아키히로 그림 ; 김정화 옮김,MiraeN·아이세움,J 833.8-트235ㅇ-2,[두류]아동실,8
44,BJX000524023,에그박사 : 자연 생물 관찰 만화. 6,에그박사 원작 ; 박송이 글 ; 홍종현 그림,아이세움,J 472-에18ㅇ-6,[두류]아동실,8
45,BJX000522635,"(Go Go) 카카오프렌즈. 23, 싱가포르",김미영 글 ; 김정한 그림,아울북,J 980.2-카821-23,[두류]아동실,8
46,BJX000525128,"(최고다!) 과학 호기심 딱지. 4, 두근두근 캠핑 여행",방콕고양이 글 ; 윤현우 그림,EBS Books,J 408-최15-4,[두류]아동실,8
47,BJX000526776,흔한남매. 2,흔한남매 원작 ; 백난도 글 ; 유난희 그림,Mirea N 아이세움,J 813.8-백211ㅎ-2,[두류]아동실,8
48,BJX000520714,(흔한남매) 불꽃 튀는 우리말. 4,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-4,[두류]아동실,8
49,BJX000525099,"배틀 급식왕. 1, 좀비 바이러스",급식왕 원작 ; 서후 글 ; 팀키즈 그림,샌드박스스토리 키즈,J 408-급59ㅂ-1,[두류]아동실,8
50,BJX000524896,완전 무죄 : 다이몬 다케아키 장편소설,지은이: 다이몬 다케아키 ; 옮긴이: 김은모,검은숲,833.6-다69ㅇ,[두류]종합실,8
51,BJX000526780,흔한남매. 10,흔한남매 원작 ; 백난도 글 ; 유난희 그림,Mirae N 아이세움,J 813.8-백211ㅎ-10=2,[두류]아동실,8
52,BJX000527078,(에그박사의) 채집 일기. 1,에그박사 원작 ; 박송이 글 ; 홍종현 그림,Mirae N 아이세움,J 472-에18ㅊ-1,[두류]아동실,8
53,BJX000528484,"(흔한남매) 과학 탐험대. 5, 물리1",흔한남매 원작 ; 이재국 ; 이현진 [공]글 ; 김덕영 그림,주니어김영사,J 404-흔91ㄱ-5,[두류]아동실,8
54,BJX000527723,침입자 : 오사카 게이키치 미스터리 소설선,"지은이: 오사카 게이키치 ; 옮긴이: 이현욱,장인주,하진수,한진아",위북,833.6-오51ㅊ,[두류]종합실,7
55,BJX000527082,"(정재승의) 인간탐구보고서. 9, 인간의 선택은 엉망진창이다","정재승 기획 ; 정재은,이고은 글 ; 김현민 그림",아울북,J 511-정72ㅇ-9,[두류]아동실,7
56,BJX000527088,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 6,흔한남매 원작 ; 안치현 글 ; 유난희 그림,MiraeN·아이세움,J 400-안819ㅎ-6,[두류]아동실,7
57,BJX000528557,에그박사 : 자연 생물 관찰 만화. 7,에그박사 원작 ; 박송이 글 ; 홍종현 그림,아이세움(미래엔),J 472-에18ㅇ-7,[두류]아동실,7
58,BJX000527708,작별인사 : 김영하 장편소설,지은이: 김영하,복복서가,813.7-김64ㅈ=2,[두류]종합실,7
59,BJX000528428,류 : 히가시야마 아키라 장편소설,히가시야마 아키라 지음 ; 민경욱 옮김,해피북스투유,833.6-히11ㄹ,[두류]종합실,7
60,BJX000527064,"비밀요원 레너드. 11, 보물섬의 비밀을 밝혀라!",박설연 글 ; 김덕영 그림,아울북,J 813.8-박53ㅂ-11,[두류]아동실,7
61,BJX000527010,세븐=Seven : 7년 안에 경제적 자유를 만드는 7가지 비밀,전인구 지음,차이정원,327.04-전69ㅅ,[두류]종합실,7
62,BJX000529571,"그리스 로마 신화. 29, 오디세우스의 험난한 모험",박시연 글 ; 최우빈 그림,아울북,J 219.2-그239-29,[두류]아동실,7
63,BJX000527013,둥실이네 떡집,김리리 글 ; 김이랑 그림,비룡소,J 813.8-김239ㄷ,[두류]아동실,7
64,BJX000527982,"기후 위기 해결사, 사이다 탐정. 2, 사라진 판다 의사",백명식 글·그림,와이즈만Books,J 539.9-백34ㄱ-2,[두류]아동실,7
65,BJX000527024,이웃집 백만장자 : 푼돈이 모여 어마어마한 재산이 되는 생생한 마법,"토마스 J. 스탠리,윌리엄 D. 댄코 지음 ; 홍정희 옮김",리드리드출판,327.04-스832ㅇ,[두류]종합실,7
66,BJX000528470,"(설민석의) 세계사 대모험. 13, 그리스 편 - 소크라테스와의 대화","설민석,김정욱 [공]글 ; 박성일 그림",단꿈아이,J 909-설39ㅅ-13,[두류]아동실,7
67,BJX000527621,비웃는 숙녀 두 사람 : 나카야마 시치리 장편소설,지은이: 나카야마 시치리 ; 옮긴이: 문지원,블루홀6(블루홀식스),833.6-나821ㅂ,[두류]종합실,7
68,BJX000477598,"놓지 마 과학!. 9, 정신이 곤충에 정신 놓다","신태훈, 나승훈 지음",위즈덤하우스,J 400-신832ㄴ-9,[두류]아동실,7
69,BJX000493847,안녕 자두야 명작동화 : 효녀 자두 ＆ 엄지공주,이빈 원작,학산문화사,J 813.8-이49ㅇ,[두류]아동실,7
70,BJX000480638,내 멋대로 동생 뽑기,최은옥 글  ; 김무연 그림,주니어김영사,J 813.8-최68ㄴ,[두류]아동실,7
71,BJX000493638,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 3, 이탈리아","글: 백종원,남지은 ; 그림: 이정태",위즈덤하우스,J 594-백75ㄷ-3,[두류]아동실,7
72,BJX000489948,흔한남매. 1,흔한남매 원작  ; 백난도 글  ; 유난희 그림,Mirea N 아이세움,J 813.8-백211ㅎ-1=2,[두류]아동실,7
73,BJX000525034,"(바로 알고, 바로 쓰는) 빵빵한 어린이 명심보감",현상길 글 ; 박빛나 그림,유앤북,J 710.8-현51ㅃ,[두류]아동실,7
74,BJX000526346,비마이펫 멍냥연구소 : 온 세상 반려가족 필수 반려동물 교양만화. 2,비마이펫 원작 ; 최진규 그림,서울문화사,J 527.386-비31ㅂ-2,[두류]아동실,7
75,BJX000526770,작별인사 : 김영하 장편소설,김영하 지음,복복서가,813.7-김64ㅈ,[두류]종합실,7
76,BJX000526769,이상한 과자 가게 전천당. 14,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.8-히235ㅇ-14,[두류]아동실,7
77,BJX000526758,"마인드 스쿨=Mind school. 6, 정직이 쑥∼ 자라나는 책",윤승기 글·그림,고릴라박스,J 190-마69-6,[두류]아동실,7
78,BJX000526336,(최강왕) 초강력 위험 생물 : 최강왕 결정전,Creature Story 편저 ; 고경옥 지음,글송이,J 490-크239ㅊ,[두류]아동실,7
79,BJX000525474,"그리스 로마 신화. 27, 트로이아의 목마",박시연 글 ; 최우빈 그림,북이십일 아울북,J 219.2-그239-27,[두류]아동실,7
80,BJX000525075,테마파크에서 살아남기,포도알친구 지음 ; 한현동 그림,MiraeN·아이세움,J 408-포225ㅌ,[두류]아동실,7
81,BJX000525163,(신비아파트 고스트볼Z 어둠의 퇴마사) 신통방통 우리말. 수수께끼,박동명 글 ; 정은정 그림,서울문화사,J 714-박225ㅅ,[두류]아동실,7
82,BJX000522660,"(설민석의)한국사 대모험. 20, 고려의 발전 편 - 서희와 거란의 한판 대결!","설민석,스토리박스 [공]글 ; 정현희 그림",아이휴먼,J 911-한17-20=2,[두류]아동실,7
83,BJX000520680,"(흔한남매) 과학탐험대. 3, 인체","흔한남매 원작 ; 이재국,이현진 글 ; 김덕영 그림",주니어김영사,J 404-흔91ㄱ-3,[두류]아동실,7
84,BJX000526704,수상한 중고상점 : 오늘도 정상 영업 중,미치오 슈스케 지음 ; 김은모 옮김,놀,833.6-미819ㅅ,[두류]종합실,7
85,BJX000525073,(읽다 보면 저절로 알게 되는) 신비한 동의·거절 사전,글·그림: 양작가,파란정원,J 331-양71ㅅ,[두류]아동실,7
86,BJX000522284,"(손오공의 한자 대탐험) 마법천자문. 52, 불러 모아라! 모을 모",유대영 글 ; 홍거북 그림,아울북,J 711.47-시239ㅁ-52,[두류]아동실,7
87,BJX000522217,"쿠키런 킹덤스쿨. 3, 직업 쿠키 vs 백수 쿠키",김언정 글 ; 이태영 그림,서울문화사,J 320-김63ㅋ-3,[두류]아동실,7
88,BJX000526502,"브레드 이발소. 6, 달콤쌉쌀 브레드의 추억",몬스터 스튜디오 원작·그림,한솔수북,J 813.8-몬58ㅂ-6,[두류]아동실,7
89,BJX000524819,나쁜 토끼 : 와카타케 나나미 장편소설,지은이: 와카타케 나나미 ; 옮긴이: 문승준,내 친구의 서재,833.6-와821ㄴ,[두류]종합실,7
