순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
91,BMK000427062,방과 후 초능력 클럽,임지형 글 ; 조승연 그림,Mirae N 아이세움,J 813.7-임79ㅂ,[남부]어린이열람실,7
92,BMK000427403,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 38, 수상한 만남 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-38,[남부]어린이열람실,7
93,BMK000424979,(빈대 가족의) 살림하는 남자들,스토리박스 글 ; 류수형 그림,재미북스,J 320.4-짠225-39,[남부]어린이열람실,7
94,BMK000422490,"놓지 마 과학!. 15, 사라진 마이아사우라의 호박장식을 찾아라","신태훈,나승훈 [공]글·그림",위즈덤하우스,J 400-신832ㄴ-15,[남부]어린이열람실,7
95,BMK000420892,친구 주문완료!,신은영 지음 ; 모예진 그림,한솔수북,J 813.7-신68ㅊ,[남부]어린이열람실,7
96,BMK000426793,(Who? K-pop) TWICE,윤상석 글 ; 서영희 그림,다산어린이,J 998.6-윤51ㅌ,[남부]어린이열람실,7
97,BMK000422387,(만화) 열두 살에 부자가 된 키라. 3,보도 섀퍼 원작 ; 권용찬 글 ; 김수지 그림,북이십일아울북,J 320-섀843ㅇ-3,[남부]어린이열람실,7
98,BMK000422522,"내일은 발명왕 : 본격 대결 과학발명 만화. 6, 관찰은 발명의 첫걸음",곰돌이 co. 글 ; 홍종현 그림,아이세움,J 507.5-곰225ㄴ-6=2,[남부]어린이열람실,7
99,BMK000422523,"내일은 발명왕 : 본격 대결 과학발명 만화. 7, 생활의 발명",곰돌이 co. 글 ; 홍종현 그림,미래엔,J 507.5-곰225ㄴ-7=2,[남부]어린이열람실,7
100,BMK000420820,"십 년 가게. 5, 한가할 때도 있습니다",히로시마 레이코 글 ; 사다케 미호 그림 ; 이소담 옮김,위즈덤하우스,J 833.6-히235ㅅ-5,[남부]어린이열람실,7
