순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
72,BMK000434032,말이야와 친구들. 3,말이야와 친구들 원작 ; 김정욱 글 ; 이혜림 그림,주니어김영사,J 813.7-말69-3,[남부]어린이열람실,7
73,BMK000432497,시간 고양이 : 동물이 사라진 세계 : 박미연 장편동화,지은이: 박미연 ; 그린이: 박냠,이지북,J 813.7-박39ㅅ,[남부]어린이열람실,7
74,BMK000432551,(이상한 과자 가게) 전천당. 2,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-2=2,[남부]어린이열람실,7
75,BMK000430511,"황제 : 이원호 장편개척소설. 3권, 한민족 대이동",이원호 지음,한결미디어,813.7-이67ㅎ-3,[남부]종합자료실,7
76,BMK000432554,(이상한 과자 가게) 전천당. 5,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-5=2,[남부]어린이열람실,7
77,BMK000430487,웃소. 2,웃소 원작 ; 김문선 지음 ; 박강호 그림,MiraeN·아이세움,J 813.7-웃55ㅇ-2,[남부]어린이열람실,7
78,BMK000433817,읽다 보면 저절로 알게 되는 신비한 습관 사전 : 아동,이수인 (지은이),파란정원,J 375.2-이57ㅇ,[남부]어린이열람실,7
79,BMK000428990,절교 가위,신은영 글 ; 김현주 그림,마루비,J 813.7-신68ㅈ,[남부]어린이열람실,7
80,BMK000430455,"내일은 발명왕. 35:, 소리의 발명 대결",곰돌이 co. 글 ; 홍종현 그림,아이세움,J 507.5-곰225ㄴ-35,[남부]어린이열람실,7
81,BMK000428995,"(정재승의) 인류 탐험 보고서. 2, 루시를 만나다","차유진,정재승 [공]글 ; 김현민 그림",아울북,J 471-차67ㅇ-2,[남부]어린이열람실,7
82,BMK000432009,테라피스트 : B.A. 패리스 장편소설,지은이: B.A. 패리스 ; 옮긴이: 박설영,모모,843.6-패239ㅌ,[남부]종합자료실,7
83,BMK000430424,키다리 아저씨,원작: 진 웹스터 ; 글·그림: 오렌지툰,문공사,J 843-웹58ㅋ=2,[남부]어린이열람실,7
84,BMK000432620,(흔한남매)별난 방탈출 : 탈출 미션 스토리북. 1,흔한남매 원작 ; 김언정 글 ; 차차 그림,Mirae N 아이세움,J 813.7-흔91ㅂ-1=2,[남부]어린이열람실,7
85,BMK000432621,(흔한남매) 별난 방탈출 : 탈출 미션 스토리북. 2,흔한남매 원작 ; 김언정 글 ; 차차 그림,Mirae N 아이세움,J 813.7-흔91ㅂ-2=2,[남부]어린이열람실,7
86,BMK000432375,"공주 탐정 엘리자베트. 1, 뮤직박스의 암호를 찾다","아니 제 글 ; ,아리안느 델리외 그림 ; 김영신 옮김",그린애플,J 863-제61ㄱ-1,[남부]어린이열람실,7
87,BMK000432014,파리 마카롱 수수께끼,요네자와 호노부 지음 ; 김선영 옮김,엘릭시르,833.6-요213ㅍ,[남부]종합자료실,7
88,BMK000430678,"(설민석의) 한국사 대모험. 19, 고려 편: 왕건, 새로운 세상을 열다!",설민석 ; 스토리박스 [공]지음 ; 정현희 그림,아이휴먼,J 911-설39ㅎ-19,[남부]어린이열람실,7
89,BMK000432241,"쿠키런 킹덤스쿨. 3, 직업 쿠키 vs 백수 쿠키",김언정 글 ; 이태영 그림,서울문화사,J 320-김63ㅋ-3,[남부]어린이열람실,7
90,BMK000430574,숲속 100층짜리 집,이와이 도시오글·그림 ; 김숙 옮김,북뱅크,MC 833.8-이66ㅅ=2,[남부]어린이열람실,7
91,BMK000432356,"설민석의 고사성어 대격돌. 3, 화룡점정! 고사성어의 마지막 비밀을 찾아라!","글: 설민석,스토리콘 ; 그림: 김문식",한솔수북,J 714-설39ㅅ-3,[남부]어린이열람실,7
92,BMK000434044,밍꼬발랄 코믹스. 10,밍꼬발랄 원작 ; 김혜련 글 ; 라임스튜디오 그림,겜툰,J 813.7-김94ㅁ-10,[남부]어린이열람실,7
93,BMK000430361,"쿠키런 킹덤스쿨. 1, 부자 쿠키 vs 거지 쿠키",김언정 글 ;  이태영 그림,서울문화사,J 320-김63ㅋ-1,[남부]어린이열람실,7
94,BMK000430571,"GO GO 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 22, 페루",김미영 글 ; 김정한 그림,아울북,J 980.2-김39ㄱ-22,[남부]어린이열람실,7
95,BMK000429093,(흔한남매) 불꽃 튀는 우리말. 4,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-4,[남부]어린이열람실,7
